Fecha;Velocidad_ID_Fan;Presio_salida_cono_Ciclon_1;Descarbonatizacion_Ciclon_4_Sum;Temperatura_recamara;Oxigeno_recamara;NOX_recamara;SO2_recamara;Velocidad_horno_RPM;Combustible_total_principal_kg;Petcoke_principal_Kg_h;Combustible_liquido_principal;Alimentacion_Crudo_horno;Corriente_Motor_principal_A;Temperatura_zona;Temperatura_aire_secundario;Saturacion_cal_Crudo_Horno;Cal_libre_Clinker;Presion_camara_4_enfriadora;Temperatura_salida_enfriadora;Temperatura_grilla_5;Presion_diferencial_colector_enfriadora;Temperatura_entrada_colector_enfriadora;Temperatura_salida_colector enfriadora
1/10/2021 0:08;903,0949097;-339,5690918;62,93000031;930,3867798;8,336579323;448,4832153;190,967041;2,054150343;5504,538086;4666,536133;29,81501007;84,15380859;317,8733215;1073,219482;862,9655762;96,36840057;0,639999986;195,6544037;323,6023254;48,52298737;118,9475708;198,5224762;161,8879547
1/10/2021 0:08;903,0949097;-332,5322266;62,93000031;930,3867798;6,957276821;464,3971252;190,967041;2,054150343;5504,538086;4689,895996;29,81501007;84,15380859;318,567749;1062,397949;862,9655762;96,36840057;0,639999986;195,6544037;323,6023254;48,52298737;120,6836548;197,6228027;161,8879547
1/10/2021 0:09;903,0949097;-331,6525879;62,93000031;930,3867798;6,057995319;494,7782288;190,967041;2,054150343;5504,538086;4648,410645;29,81501007;84,15380859;317,0052795;1092,634399;855,8303833;96,36840057;0,639999986;198,6057129;323,6023254;48,52298737;112,0032959;197,0498505;161,8879547
1/10/2021 0:09;903,0949097;-344,8466797;62,93000031;930,3867798;5,644812107;519,3724976;190,967041;2,054150343;5504,538086;4666,94873;29,81501007;84,15380859;317,0052795;1079,584961;855,8303833;96,36840057;0,639999986;197,2168579;324,9911804;48,52298737;114,0287476;197,0498505;161,8879547
1/10/2021 0:10;903,0949097;-342,6477051;62,93000031;930,3867798;5,389610767;538,1798706;190,967041;2,054150343;5504,538086;4655,616699;29,81501007;84,15380859;317,0052795;1095,180664;855,8303833;96,36840057;0,639999986;193,5711365;324,9911804;48,52298737;118,6582031;197,0498505;161,8879547
1/10/2021 0:10;903,0949097;-336,0506592;62,93000031;930,3867798;5,134409428;541,0733032;190,967041;2,054150343;5504,538086;4662,084961;29,81501007;84,15380859;317,0052795;1077,675293;855,8303833;96,36840057;0,639999986;195,4808044;324,9911804;48,52298737;127,0491943;197,0498505;161,8879547
1/10/2021 0:11;903,0949097;-340,8884277;62,93000031;930,3867798;4,976427555;533,8396606;190,967041;2,054150343;5504,538086;4640,179199;29,81501007;84,15380859;317,0052795;1060,806519;855,8303833;96,36840057;0,639999986;194,4391632;321,866272;48,52298737;118,6582031;197,0498505;161,8879547
1/10/2021 0:11;903,0949097;-325,9351807;62,93000031;930,3867798;4,976427555;516,4790649;190,967041;2,054150343;5504,538086;4662,566406;29,81501007;84,15380859;317,0052795;1097,090332;855,8303833;96,36840057;0,639999986;196,8696594;320,477417;48,52298737;119,8156128;197,0498505;161,8879547
1/10/2021 0:12;903,0949097;-330,333252;62,93000031;930,3867798;4,976427555;526,6060791;190,967041;2,054150343;5504,538086;4674,571777;29,81501007;84,15380859;310,5818481;1108,22998;855,8303833;96,36840057;0,639999986;197,3904724;310,5818481;48,52298737;125,8918457;196,1772766;161,8879547
1/10/2021 0:12;903,0949097;-327,6943359;62,93000031;930,3867798;4,976427555;515,0323486;141,7785645;2,054150343;5504,538086;4670,666992;29,81501007;84,15380859;311,1026611;1047,438843;855,8303833;96,36840057;0,639999986;197,0432587;311,9707031;45,88995743;134,5721436;194,7285309;161,8879547
